ID X Y Elevation Lon Lat
88 1620 384 1047.7 -95.9844938348234 23.0035323741912
89 1558.33 490.8744 1046.8 -95.9850839614166 23.0045159212417
90 1620 448 1049 -95.9844937348692 23.0041213014173
91 1480.909 342.8663 1039.9 -95.9858252318127 23.0031540615756
92 1559.478 416 1045.3 -95.9850730855488 23.0038269271384
93 1557.611 339.2355 1043.8 -95.9850910712545 23.0031205429101
94 1401.524 509.0484 1039.2 -95.9865848540685 23.0046833727728
95 1514.57 241.9747 1039.55 -95.9855031872386 23.002225607655
96 734.7334 848.6154 1020.25 -95.992967018082 23.0078086963378
97 588.5798 728.8159 1025.1 -95.9943660909602 23.0067064064114
98 1364.683 578.1913 1038.85 -95.9869373987904 23.0053196693632
99 1291.97 495.0614 1033.4 -95.9876335034652 23.0045548016909
100 1620 128 1042.6 -95.9844942346275 23.0011766524401
101 1322 0 1025 -95.9873466928253 22.999999190125
102 804.8817 853.8511 1017.1 -95.992295543628 23.007856824421
103 818.9457 926.5226 1018.5 -95.9921608633902 23.0085255252997
104 647.5876 692.3919 1021.3 -95.9938012887162 23.006371202763
105 568.4731 630.2336 1024.1 -95.9945586071149 23.0057992722005
106 1574.866 192 1041.55 -95.9849261357361 23.0017656516267
107 1492 0 1033.5 -95.9857195656021 22.9999989684442
108 1516.837 103.1626 1036.85 -95.9854816914688 23.0009482466048
109 383.0731 679.6538 1034.35 -95.9963332273455 23.0062541143384
110 614.4921 515.6478 1019.55 -95.9941181836923 23.0047448354586
111 1335.953 238.4431 1030.55 -95.9872128368821 23.002193345664
112 1556 0 1036.75 -95.9851070000613 22.9999988780481
113 1620 64 1041.3 -95.9844943345753 23.0005877187904
114 1407 0 1029.25 -95.9865331292127 22.9999990826327
115 507.169 694.0787 1028.65 -95.99514537533 23.006386799673
116 607.5 1000 1029.5 -95.994184827222 23.0092017906185
117 409.02 744.2776 1034.4 -95.996084838342 23.0068487662468
118 476.0738 763.0729 1031.55 -95.9954429871 23.0070216908776
119 544.2055 784.9564 1028.45 -95.9947908140514 23.0072230279105
120 0 500 1050 -96 23.0046010200273
121 617.6874 797.4303 1024.9 -95.9940874310045 23.0073377715544
122 708.75 1000 1024.5 -95.9932156317621 23.009201728857
123 659.1496 862.036 1024.2 -95.9936905093926 23.0079322395128
124 566.8299 874.3521 1029.25 -95.9945742023236 23.0080456228219
125 491.6077 617.782 1027.9 -95.9952943643474 23.0056847313002
126 708.7954 922.0856 1022.9 -95.9932152504263 23.0084847747725
127 333.8112 736.9537 1037.95 -95.9968047434175 23.0067813984428
