index	iSoil	iGeol	iLC	IC	iForc	iMF	iBC	node0	node1	node2	nabr0	nabr1	nabr2	edge0	edge1	edge2	area	x	y	zmin	zmax	soil_index	infKsatV	ThetaS	ThetaR	Alpha	Beta	hAreaF	macKsatV	infD	geol_index	KsatH	KsatV	SpYield	geo_ThetaS	geo_ThetaR	geo_vAreaF	macKsatH	macD	LC_index	VegFrac	Albedo	Rs_ref	Rmin	Rough	RzD	SoilDgrd	ImpAF	Dist2Edge0	Dist2Edge1	Dist2Edge2	Dist2Nabor0	Dist2Nabor1	Dist2Nabor2	avgRough0	avgRough1	avgRough2	windH	FixPressure	AquiferDepth	WetlandLevel	RootReachLevel	MacporeLevel	
44	1	1	1	-9999	1	1	0	0	30	41	43	66	73	38	103.712	121.2	84.5706	4311.05	1302.69	867.843	1036.45	1041.45	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	80.5569	86.4448	74.7555	53.8247	47.4261	60.4584	0.00025	0.00025	0.00025	10	89.6023	5	4.9	4.48	4	
45	1	1	1	-9999	1	1	0	0	32	31	19	25	133	35	77.8494	115.25	115.25	4222.47	851.269	743.775	1012.12	1017.12	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	72.5488	84.0764	84.0764	62.1462	49.6288	48.8499	0.00025	0.00025	0.00025	10	89.8631	5	4.9	4.48	4	
46	1	1	1	-9999	1	1	0	0	31	24	33	49	26	35	92.7038	92.7038	77.8494	3274.97	925.938	688.533	1014.1	1019.1	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	68.9699	68.9699	64.2144	46.1515	48.8499	64.2046	0.00025	0.00025	0.00025	10	89.8418	5	4.9	4.48	4	
47	1	1	1	-9999	1	1	0	0	32	60	58	105	48	102	75.6495	85.991	75.6495	2676.18	781.89	657.775	1009.3	1014.3	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	59.5323	62.9444	59.5323	45.3578	50.567	48.0889	0.00025	0.00025	0.00025	10	89.8933	5	4.9	4.48	4	
48	1	1	1	-9999	1	1	0	0	32	58	24	57	35	47	85.991	115.25	85.991	3678	832.41	659.955	1009.62	1014.62	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	72.1392	81.7074	72.1392	55.3058	46.8786	50.567	0.00025	0.00025	0.00025	10	89.8899	5	4.9	4.48	4	
49	1	1	1	-9999	1	1	0	0	24	36	33	51	46	55	81.573	92.7038	81.573	3111.33	944.464	646.263	1014.18	1019.18	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	64.1898	67.8623	64.1898	48.4743	46.1515	53.3664	0.00025	0.00025	0.00025	10	89.8409	5	4.9	4.48	4	
50	1	1	1	-9999	1	1	0	0	245	36	9	3	442	441	81.5729	68.6499	76.1723	2429.93	978.525	560.866	1014.2	1019.2	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	59.9129	55.7155	58.1083	47.7021	48.5916	42.2869	0.00025	0.00025	0.00025	10	89.8407	5	4.9	4.48	4	
51	1	1	1	-9999	1	1	0	0	36	39	33	62	49	441	79.8545	81.573	79.8545	2800.1	991.891	636.241	1016.32	1021.32	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	61.2457	61.8093	61.2457	44.9962	48.4743	43.4564	0.00025	0.00025	0.00025	10	89.818	5	4.9	4.48	4	
52	1	1	1	-9999	1	1	0	0	47	26	45	30	78	0	84.5706	93.2647	64	2630.11	1391.97	972.603	1043.13	1048.13	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	63.956	66.9096	57.6743	48.9096	39.6186	0	0.00025	0.00025	0.00025	10	89.5308	5	4.9	4.48	4	
53	1	1	1	-9999	1	1	0	0	53	49	43	70	79	90	86.5035	76.1	76.1001	2708.16	1400.13	813.469	1040.27	1045.27	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	63.3195	59.8869	59.887	48.9497	49.603	57.3687	0.00025	0.00025	0.00025	10	89.5615	5	4.9	4.48	4	
